X,Y,Id,gridcode,Shape_Length,Shape_Area
-76.2957653529479,36.7104334298423,2304,25692,0.00334173285671113,3.69673117159378e-07
-76.2679130882491,36.7098405417547,2305,25810,0.000431191336701886,5.81018652799313e-09
-76.2918307323461,36.7105002773206,2306,25629,0.00749194946990883,1.12354481789386e-06
-76.2847430247544,36.7120773468121,2307,25454,0.0374058484309217,5.57923160375448e-06
-76.2430522120758,36.7116731049343,2308,25308,0.0248474007588584,5.6721945881702e-07
-76.2466230160154,36.7093553991654,2309,25308,0.000700685921515287,9.4415530901805e-09
-76.2298874019296,36.7097197430235,2310,25716,0.00738415163527861,1.55858253338095e-06
-76.2678187651442,36.7091937024143,2311,25810,0.00954010831719643,3.71851937105269e-07
-76.2797034760105,36.7087625372458,2312,25875,0.00334173285716588,4.76435294466679e-07
-76.3147377720911,36.7096653441064,2313,25614,0.00878552347865025,1.06399040605738e-06
-76.327390542868,36.7082909217217,2314,25899,0.00695296029925885,7.11021575135533e-07
-76.119704540756,36.7073207412148,2315,25890,0.000107797834061785,7.26273314275754e-10
-76.335866147231,36.7069569496927,2316,25990,0.000916281589752543,1.23466463472835e-08
-76.336041319054,36.70686260042,2317,25990,0.000161696750865303,1.45254662395581e-09
-76.3360817432418,36.7068356509614,2318,25990,0.000107797834516532,7.26273320403351e-10
-76.121065488754,36.7067952529416,2319,25890,0.000215595668237256,2.17881994435916e-09
-76.3338988367588,36.7061484136011,2320,25990,0.000700685921515287,1.01678263922011e-08
-76.3307053262663,36.7065122574591,2321,26019,0.00641397112849518,6.94317288841319e-07
-76.1090729793684,36.7057711473498,2322,25890,0.000377292419329933,5.08391320146218e-09
-76.287262799469,36.7066335561905,2323,25951,0.011642166082197,2.6872112643813e-06
-76.1097601905608,36.7054073296597,2324,25890,0.000107797834061785,7.26273314275754e-10
-76.2848508225885,36.7057032737034,2325,26139,0.00582108304104167,1.01896146054317e-06
-76.1142607504768,36.7070647475268,2326,25890,0.0478083394183386,2.19450744773734e-05
-76.0423730695225,36.7048688404892,2327,26307,0.00409631769662155,4.83698027606373e-07
-76.9253586033186,36.7043293513187,2328,26337,0.000107797833948098,7.26273312743855e-10
-76.2703789633613,36.7069299740663,2329,25815,0.0160079783631772,5.43252439421409e-07
-76.2135695047937,36.7038173116068,2330,26420,0.000107797834402845,7.26273318871452e-10
-76.2133943333132,36.7038442610654,2331,26420,0.000323393502299041,3.63136657291067e-09
-76.2133404340535,36.7038038630454,2332,26420,0.00021559566846463,2.17881994742296e-09
-76.2143510390908,36.7036825643142,2333,26420,0.000107797834516532,7.26273320403351e-10
-76.21400069613,36.7036556148556,2334,26420,0.000107797833834411,7.26273311211955e-10
-76.213798575191,36.7036556148556,2335,26420,0.000161696751206364,1.45254662855151e-09
-76.2137042520862,36.7036556148556,2336,26420,0.000107797833948098,7.26273312743855e-10
-76.9258302188427,36.7041541798383,2337,26337,0.0110492779946298,1.24919010117778e-06
-76.2143240899749,36.7032379244165,2338,26420,0.000269494585381835,3.63136657137877e-09
-76.2151460481172,36.7028740805585,2339,26420,0.000431191336247139,7.98900646162899e-09
-76.2145935842175,36.7028201816414,2340,26420,0.000107797833834411,7.26273311211955e-10
-76.2148630788028,36.702793232183,2341,26420,0.000107797834061785,7.26273314275754e-10
-76.2148361293442,36.7027528079951,2342,26420,0.000161696751433738,1.45254663467911e-09
-76.9222459408591,36.7058789451839,2343,25885,0.0210205776487555,1.21955815006486e-05
-76.2148091798856,36.7027123838073,2344,26420,0.000107797834061785,7.26273314275754e-10
-76.2144318871238,36.7033726717091,2345,26420,0.0181100361280642,5.91912751450311e-07
-76.2149708766369,36.7026854343488,2346,26420,0.000107797834061785,7.26273314275754e-10
-76.2147283315101,36.7026854343488,2347,26420,0.000107797834061785,7.26273314275754e-10
-76.215078674471,36.7026584848902,2348,26420,0.000107797834402845,7.26273318871452e-10
-76.2150247755539,36.7027118838073,2349,26420,0.000646787004711769,1.01678264151795e-08
-76.3145626006107,36.7050979108867,2350,25959,0.0150916967730836,3.12878543986844e-06
-76.3491387558965,36.7021464451784,2351,26288,0.000269494585040775,2.90509325403922e-09
-76.9250891087333,36.7024019650343,2352,26538,0.00619837546059898,1.80624173363936e-06
-76.3485323930798,36.70357476648,2353,26288,0.0248474007587447,1.2413463494988e-05
-76.3243991529719,36.7022267935538,2354,26557,0.0066834657139907,1.46198818246279e-06
-76.2875457684409,36.702645510161,2355,26472,0.00808483755713496,1.31382842632449e-06
-76.3217042074621,36.7017018052806,2356,26627,0.0079231408059286,2.04881702074074e-06
-76.3239275374477,36.7012436644858,2357,26750,0.00625227437774356,7.80743813445408e-07
-76.3369710750304,36.700273431643,2358,25990,0.00059288808790825,7.98900647541609e-09
-76.0985492154723,36.7006238269397,2359,26815,0.00689906138325114,5.43252439439792e-07
-75.9826261199757,36.7000174379549,2360,26952,0.00204815884831078,2.18608267753256e-07
-75.9822084033686,36.6999231148501,2361,26952,0.00183256317961877,1.8810478851844e-07
-76.3364859851197,36.7031839993315,2362,25990,0.0282969314517914,9.68122328528552e-07
-76.3377256602118,36.6988047123214,2363,25990,0.000107797834061785,7.26273314275754e-10
-76.337685236024,36.6987777628629,2364,25990,0.000377292419216246,4.35763988412262e-09
-76.0015985387763,36.6968913007663,2365,27808,0.00075458483888724,9.4415530947762e-09
-75.9993482589896,36.6964870588885,2366,27808,0.000323393502299041,4.35763988412262e-09
-76.0016928618812,36.6965274830762,2367,27808,0.00107797834084522,1.37991929819626e-08
-76.0032559304756,36.6957189993204,2368,27808,0.000269494585268149,2.90509325863491e-09
-75.9994560568237,36.6959750191764,2369,27808,0.00231765343278312,3.84924856520193e-08
-75.9268272661027,36.6958672213423,2370,27658,0.00296444043726751,3.89282496663206e-07
-76.0033233041218,36.6955303531108,2371,27808,0.000646787004484395,8.71527977590474e-09
-76.000857428667,36.6953551816303,2372,27808,0.000323393502412728,3.63136658057017e-09
-76.0022049015931,36.6950722123159,2373,27808,0.000161696751092677,1.45254663008341e-09
-76.0026899918465,36.6950048386695,2374,27808,0.000107797834175472,7.26273315807653e-10
-76.0009248023133,36.6950722123159,2375,27808,0.00102407942370064,1.4525466287047e-08
-76.0034176272267,36.6948431419185,2376,27808,0.000107797834175472,7.26273315807653e-10
-76.0026899918465,36.6947353440843,2377,27808,0.000107797834061785,7.26273314275754e-10
-75.9968554337336,36.6953147836105,2378,27808,0.00452750903127708,1.2782410335849e-07
-76.0032020315585,36.6942233043723,2379,27808,0.000107797834061785,7.26273314275754e-10
-75.9711726001032,36.6957060245912,2380,27514,0.0101868953219082,2.39888075839476e-06
-76.0025417698247,36.6938190624945,2381,27808,0.00016169675097899,1.45254662701961e-09
-76.0016659124227,36.6936304162848,2382,27808,0.000107797834402845,7.26273318871452e-10
-76.0023665983443,36.6936034668263,2383,27808,0.000107797834061785,7.26273314275754e-10
-76.0042395860543,36.6937786121388,2384,27808,0.00107797834107259,1.37991929834945e-08
-76.0016928618812,36.6935226184508,2385,27808,0.000107797833948098,7.26273312743855e-10
-76.0032963546633,36.6933878711582,2386,27808,0.00016169675097899,1.45254662548771e-09
-76.0016389629642,36.6933609216997,2387,27808,0.000107797834175472,7.26273315807653e-10
-76.0043339088165,36.693428295346,2388,27808,0.000700685921515287,8.71527977130905e-09
-76.002151002676,36.6933070227826,2389,27808,0.000107797833834411,7.26273311211955e-10
-75.9998063997845,36.6932935480533,2390,27808,0.000161696751092677,1.45254663008341e-09
-76.0021779521345,36.6932665985948,2391,27808,0.000161696751092677,1.45254663008341e-09
-76.0056409575549,36.6932127258456,2392,27808,0.000808483755918132,1.30729196600274e-08
-76.00531756371,36.6931318251342,2393,27808,0.000646787004598082,9.4415530794572e-09
-76.0008843781255,36.6930914271145,2394,27808,0.000107797833834411,7.26273311211955e-10
-76.001477266213,36.6930105787388,2395,27808,0.000107797834175472,7.26273315807653e-10
-76.0049672210918,36.6930644776559,2396,27808,0.00177866426236051,2.68721126450538e-08
-76.0015042156715,36.6929566798219,2397,27808,0.000107797834175472,7.26273315807653e-10
-76.0044012828054,36.6931048756757,2398,27808,0.00140137184314426,2.03356528135082e-08
-76.0015042156715,36.6929027809047,2399,27808,0.000107797834175472,7.26273315807653e-10
-75.9972192517663,36.6927680336121,2400,27808,0.000107797833948098,7.26273312743855e-10
-76.0043339088165,36.6916496310834,2401,27808,0.000700685921515287,8.71527976824525e-09
-76.0044147571921,36.6915014090615,2402,27808,0.00021559566846463,2.17881995048676e-09
-76.1577976003791,36.6914609848737,2403,28148,0.000269494584927088,3.63136656525117e-09
-76.1578380245669,36.6914070859567,2404,28148,0.000161696751433738,1.45254663467911e-09
-76.0044417066506,36.6914205606859,2405,27808,0.000215595668237256,2.17881994435916e-09
-76.0044686561091,36.6913531870396,2406,27808,0.000161696750865303,1.45254662395581e-09
-76.0029594864318,36.6910836924543,2407,27808,0.000700685921628974,8.71527977743664e-09
-76.0136584214657,36.6909354704325,2408,28228,0.000215595668237256,2.17881994129536e-09
-76.0135775730901,36.690908520974,2409,28228,0.000215595668123569,2.17881994282726e-09
-76.0030133853489,36.690908520974,2410,27808,0.000215595668009883,2.17881994435916e-09
-76.0137392698412,36.6903695318036,2411,28228,0.000107797833834411,7.26273311211955e-10
-76.157945822401,36.6908141978692,2412,28148,0.00291054152035031,4.64814921304991e-08
-76.1581748927984,36.6902347845109,2413,28148,0.000215595667896196,2.17881993823156e-09
-76.003794919646,36.6901269866768,2414,27808,0.000107797833948098,7.26273312743855e-10
-76.158363539008,36.6900725877598,2415,28148,0.00118577617536175,2.10619261385073e-08
-76.0140087644264,36.6899113910086,2416,28228,0.000107797833834411,7.26273311211955e-10
-76.0030672842659,36.6933339722411,2417,27808,0.134208303449782,7.17993798923015e-06
-76.2903889366577,36.6936708666406,2418,27474,0.0256019855975183,6.58729896454062e-07
-76.1585656596044,36.6898709929888,2419,28148,0.000485090253278031,6.53645982388609e-09
